#,Date,Entry,Exit,Side,Setup,Entry Price,SL,Target,Exit Price,Exit Reason,Result,Points,R,MFE,MAE,MFE R,MAE R,Planned RR,Target Source,Why Trade,DateNorm,EntryNorm,ExitNorm,TargetType,ZoneType,key
11,45670,0.4826388888888889,0.5138888888888888,PE,SMART_ZONE_BREAK_CONFIRMATION,23240.2,23288.86,23100.0,23215.87,PROFIT_LOCK_HIT,WIN,24.33,0.5,49.75,22.8,1.022,0.4689999999999999,2.88,classic_liquidity,Smart zone order_block_bullish+swing_low+bullish_breaker+breakout_base 23246.02-23289.92 | Target: ROUND_NUMBER,13-01-2025,11:35,12:20,ROUND_NUMBER,order_block_bullish+swing_low+bullish_breaker+breakout_base,13-01-2025|11:35|PE|SMART_ZONE_BREAK_CONFIRMATION
12,45671,0.4305555555555555,0.4479166666666666,PE,SMART_ZONE_RESISTANCE_REJECTION_CONFIRMATION,23138.2,23202.01,23000.0,23202.01,SL_HIT,LOSS,-63.81,-1.0,1.2,68.15,0.019,1.068,2.17,classic_liquidity,Smart zone order_block_bearish+swing_high+breakdown_base+bearish_breaker 23160.6-23194.15 | Target: ROUND_NUMBER,14-01-2025,10:20,10:45,ROUND_NUMBER,order_block_bearish+swing_high+breakdown_base+bearish_breaker,14-01-2025|10:20|PE|SMART_ZONE_RESISTANCE_REJECTION_CONFIRMATION
13,45671,0.46875,0.4826388888888889,CE,SMART_ZONE_BREAK_CONFIRMATION,23260.05,23211.9,23340.95,23211.9,SL_HIT,LOSS,-48.15,-1.0,1.3,51.25,0.027,1.064,1.68,classic_liquidity,Smart zone order_block_bearish+breakdown_base+swing_high+bearish_breaker+equal_highs_liquidity 23213.0-23240.15 | Target: PDH,14-01-2025,11:15,11:35,PDH,order_block_bearish+breakdown_base+swing_high+bearish_breaker+equal_highs_liquidity,14-01-2025|11:15|CE|SMART_ZONE_BREAK_CONFIRMATION
14,45671,0.5104166666666666,0.5451388888888888,PE,SMART_ZONE_BREAK_CONFIRMATION,23181.1,23213.77,23100.0,23164.76,PROFIT_LOCK_HIT,WIN,16.34,0.5,37.0,18.2,1.133,0.557,2.48,classic_liquidity,Smart zone order_block_bullish+equal_lows_liquidity+swing_low+breakout_base+bullish_breaker 23187.15-23214.65 | Target: ROUND_NUMBER,14-01-2025,12:15,13:05,ROUND_NUMBER,order_block_bullish+equal_lows_liquidity+swing_low+breakout_base+bullish_breaker,14-01-2025|12:15|PE|SMART_ZONE_BREAK_CONFIRMATION
15,45672,0.4444444444444444,0.5520833333333333,CE,SMART_ZONE_SUPPORT_REACTION_CONFIRMATION,23256.9,23184.78,23400.0,23184.78,SL_HIT,LOSS,-72.12,-1.0,36.75,75.4,0.51,1.045,1.98,classic_liquidity,Smart zone breakout_base+swing_low+bullish_breaker 23192.1-23226.2 | Target: ROUND_NUMBER,15-01-2025,10:40,13:15,ROUND_NUMBER,breakout_base+swing_low+bullish_breaker,15-01-2025|10:40|CE|SMART_ZONE_SUPPORT_REACTION_CONFIRMATION
16,45672,0.5590277777777777,0.6354166666666666,PE,SMART_ZONE_BREAK_CONFIRMATION,23183.55,23241.13,23000.0,23204.25,TIME_EXIT,LOSS,-20.7,-0.3589999999999999,37.1,44.15,0.644,0.767,3.19,classic_liquidity,Smart zone order_block_bullish+swing_low+bullish_breaker+breakout_base 23198.0-23248.32 | Target: ROUND_NUMBER,15-01-2025,13:25,15:15,ROUND_NUMBER,order_block_bullish+swing_low+bullish_breaker+breakout_base,15-01-2025|13:25|PE|SMART_ZONE_BREAK_CONFIRMATION
17,45673,0.46875,0.59375,CE,SMART_ZONE_RETEST_CONFIRMATION,23289.55,23242.72,23391.65,23312.97,PROFIT_LOCK_HIT,WIN,23.42,0.5,51.35,7.15,1.097,0.153,2.18,classic_liquidity,Smart zone order_block_bearish+bearish_breaker+equal_highs_liquidity+swing_high+breakdown_base 23235.12-23289.05 | Target: ORH,16-01-2025,11:15,14:15,ORH,order_block_bearish+bearish_breaker+equal_highs_liquidity+swing_high+breakdown_base,16-01-2025|11:15|CE|SMART_ZONE_RETEST_CONFIRMATION
18,45674,0.4548611111111111,0.5,PE,SMART_ZONE_BREAK_CONFIRMATION,23132.4,23217.09,23000.0,23217.09,SL_HIT,LOSS,-84.69,-1.0,32.05,85.8,0.378,1.013,1.56,classic_liquidity,Smart zone breakout_base+swing_low+equal_lows_liquidity+bullish_breaker+order_block_bullish 23165.3-23223.65 | Target: ROUND_NUMBER,17-01-2025,10:55,12:00,ROUND_NUMBER,breakout_base+swing_low+equal_lows_liquidity+bullish_breaker+order_block_bullish,17-01-2025|10:55|PE|SMART_ZONE_BREAK_CONFIRMATION
19,45677,0.4652777777777777,0.6354166666666666,CE,SMART_ZONE_BREAK_CONFIRMATION,23271.95,23227.13,23400.0,23343.2,TIME_EXIT,WIN,71.25,1.59,119.15,14.35,2.658,0.32,2.86,classic_liquidity,Smart zone order_block_bearish+equal_highs_liquidity+swing_high+breakdown_base+bearish_breaker+gap_down 23222.6-23269.25 | Target: ROUND_NUMBER,20-01-2025,11:10,15:15,ROUND_NUMBER,order_block_bearish+equal_highs_liquidity+swing_high+breakdown_base+bearish_breaker+gap_down,20-01-2025|11:10|CE|SMART_ZONE_BREAK_CONFIRMATION
20,45678,0.4756944444444444,0.4895833333333333,PE,SMART_ZONE_RETEST_CONFIRMATION,23160.25,23227.87,23000.0,23227.87,SL_HIT,LOSS,-67.62,-1.0,16.7,253.0,0.247,3.741,2.37,classic_liquidity,Smart zone breakout_base+bullish_breaker+swing_low+equal_lows_liquidity+order_block_bullish 23170.6-23232.55 | Target: ROUND_NUMBER,21-01-2025,11:25,11:45,ROUND_NUMBER,breakout_base+bullish_breaker+swing_low+equal_lows_liquidity+order_block_bullish,21-01-2025|11:25|PE|SMART_ZONE_RETEST_CONFIRMATION
21,45678,0.4965277777777777,0.5034722222222222,CE,SMART_ZONE_BREAK_CONFIRMATION,23381.5,23328.83,23500.0,23328.83,SL_HIT,LOSS,-52.67,-1.0,16.65,86.0,0.316,1.633,2.25,classic_liquidity,Smart zone order_block_bearish+breakdown_base+swing_high 23328.29-23367.86 | Target: ROUND_NUMBER,21-01-2025,11:55,12:05,ROUND_NUMBER,order_block_bearish+breakdown_base+swing_high,21-01-2025|11:55|CE|SMART_ZONE_BREAK_CONFIRMATION
22,45681,0.4756944444444444,0.5034722222222222,CE,SMART_ZONE_BREAK_CONFIRMATION,23271.2,23224.27,23400.0,23294.67,PROFIT_LOCK_HIT,WIN,23.47,0.5,76.09999999999998,9.8,1.622,0.2089999999999999,2.74,classic_liquidity,Smart zone order_block_bearish+swing_high+breakdown_base+bearish_breaker+equal_highs_liquidity 23226.15-23256.65 | Target: ROUND_NUMBER,24-01-2025,11:25,12:05,ROUND_NUMBER,order_block_bearish+swing_high+breakdown_base+bearish_breaker+equal_highs_liquidity,24-01-2025|11:25|CE|SMART_ZONE_BREAK_CONFIRMATION
23,45681,0.5451388888888888,0.6354166666666666,PE,SMART_ZONE_TREND_CONTINUATION,23183.35,23262.92,23027.44,23098.6,TIME_EXIT,WIN,84.75,1.065,133.35,44.75,1.676,0.562,1.96,smart_zone,Smart zone order_block_bearish+swing_high+breakdown_base+bearish_breaker+equal_highs_liquidity 23226.15-23256.65 | Target: SMART_ZONE:order_block_bullish+equal_lows_liquidity+swing_low+breakout_base+bullish_breaker,24-01-2025,13:05,15:15,SMART_ZONE:order_block_bullish+equal_lows_liquidity+swing_low+breakout_base+bullish_breaker,order_block_bearish+swing_high+breakdown_base+bearish_breaker+equal_highs_liquidity,24-01-2025|13:05|PE|SMART_ZONE_TREND_CONTINUATION
24,45684,0.4861111111111111,0.5,PE,SMART_ZONE_TREND_CONTINUATION,22867.6,22925.0,22700.0,22925.0,SL_HIT,LOSS,-57.4,-1.0,11.35,72.34999999999998,0.198,1.26,2.92,classic_liquidity,Smart zone breakdown_base+swing_high+order_block_bearish 22890.4-22917.43 | Target: ROUND_NUMBER,27-01-2025,11:40,12:00,ROUND_NUMBER,breakdown_base+swing_high+order_block_bearish,27-01-2025|11:40|PE|SMART_ZONE_TREND_CONTINUATION
25,45685,0.46875,0.4895833333333333,CE,SMART_ZONE_BREAK_CONFIRMATION,22959.6,22890.61,23068.87,22994.09,PROFIT_LOCK_HIT,WIN,34.49,0.5,73.9,15.3,1.071,0.222,1.58,smart_zone,Smart zone order_block_bearish+bearish_breaker+swing_high+breakdown_base+equal_highs_liquidity 22887.0-22936.0 | Target: SMART_ZONE:breakdown_base+bearish_breaker+swing_high+order_block_bearish,28-01-2025,11:15,11:45,SMART_ZONE:breakdown_base+bearish_breaker+swing_high+order_block_bearish,order_block_bearish+bearish_breaker+swing_high+breakdown_base+equal_highs_liquidity,28-01-2025|11:15|CE|SMART_ZONE_BREAK_CONFIRMATION
26,45685,0.4930555555555555,0.5555555555555555,CE,SMART_ZONE_BREAK_CONFIRMATION,23013.4,22956.96,23100.0,23041.62,PROFIT_LOCK_HIT,WIN,28.22,0.5,60.4,25.0,1.07,0.443,1.53,classic_liquidity,Smart zone order_block_bearish+breakdown_base+swing_high+bearish_breaker+equal_highs_liquidity 22953.36-22999.15 | Target: ROUND_NUMBER,28-01-2025,11:50,13:20,ROUND_NUMBER,order_block_bearish+breakdown_base+swing_high+bearish_breaker+equal_highs_liquidity,28-01-2025|11:50|CE|SMART_ZONE_BREAK_CONFIRMATION
27,45686,0.4583333333333333,0.4722222222222222,CE,SMART_ZONE_TREND_CONTINUATION,23122.85,23037.07,23300.0,23037.07,SL_HIT,LOSS,-85.78,-1.0,1.1,138.7,0.013,1.617,2.07,classic_liquidity,Smart zone breakout_base+swing_low+bullish_breaker+order_block_bullish 23045.52-23073.95 | Target: ROUND_NUMBER,29-01-2025,11:00,11:20,ROUND_NUMBER,breakout_base+swing_low+bullish_breaker+order_block_bullish,29-01-2025|11:00|CE|SMART_ZONE_TREND_CONTINUATION
28,45686,0.5694444444444444,0.6354166666666666,CE,SMART_ZONE_BREAK_CONFIRMATION,23158.95,23110.07,23300.0,23161.7,TIME_EXIT,WIN,2.75,0.056,22.4,43.85,0.458,0.897,2.89,classic_liquidity,Smart zone order_block_bearish+swing_high+equal_highs_liquidity+bearish_breaker+breakdown_base 23111.73-23141.1 | Target: ROUND_NUMBER,29-01-2025,13:40,15:15,ROUND_NUMBER,order_block_bearish+swing_high+equal_highs_liquidity+bearish_breaker+breakdown_base,29-01-2025|13:40|CE|SMART_ZONE_BREAK_CONFIRMATION
29,45687,0.5902777777777777,0.625,PE,SMART_ZONE_BREAK_CONFIRMATION,23169.45,23217.52,23062.68,23217.52,SL_HIT,LOSS,-48.07,-1.0,29.5,69.85,0.6139999999999999,1.453,2.22,smart_zone,Smart zone order_block_bullish+breakout_base+equal_lows_liquidity+swing_low 23191.29-23218.61 | Target: SMART_ZONE:order_block_bullish+bullish_breaker+breakout_base+swing_low+equal_lows_liquidity+gap_up,30-01-2025,14:10,15:00,SMART_ZONE:order_block_bullish+bullish_breaker+breakout_base+swing_low+equal_lows_liquidity+gap_up,order_block_bullish+breakout_base+equal_lows_liquidity+swing_low,30-01-2025|14:10|PE|SMART_ZONE_BREAK_CONFIRMATION
