#,Date,Entry,Exit,Side,Setup,Entry Price,SL,Target,Exit Price,Exit Reason,Result,Points,R,MFE,MAE,MFE R,MAE R,Planned RR,Target Source,Why Trade
17,45673,0.46875,0.59375,CE,SMART_ZONE_RETEST_CONFIRMATION,23289.55,23242.720000000001,23391.65,23312.97,PROFIT_LOCK_HIT,WIN,23.42,0.5,51.35,7.15,1.097,0.153,2.1800000000000002,classic_liquidity,Smart zone order_block_bearish+bearish_breaker+equal_highs_liquidity+swing_high+breakdown_base 23235.12-23289.05 | Target: ORH
18,45674,0.4548611111111111,0.5,PE,SMART_ZONE_BREAK_CONFIRMATION,23132.400000000001,23217.09,23000,23217.09,SL_HIT,LOSS,-84.69,-1,32.049999999999997,85.8,0.378,1.0129999999999999,1.56,classic_liquidity,Smart zone breakout_base+swing_low+equal_lows_liquidity+bullish_breaker+order_block_bullish 23165.3-23223.65 | Target: ROUND_NUMBER
19,45677,0.46527777777777779,0.63541666666666663,CE,SMART_ZONE_BREAK_CONFIRMATION,23271.95,23227.13,23400,23343.200000000001,TIME_EXIT,WIN,71.25,1.59,119.15,14.35,2.6579999999999999,0.32,2.86,classic_liquidity,Smart zone order_block_bearish+equal_highs_liquidity+swing_high+breakdown_base+bearish_breaker+gap_down 23222.6-23269.25 | Target: ROUND_NUMBER
20,45678,0.47569444444444442,0.48958333333333331,PE,SMART_ZONE_RETEST_CONFIRMATION,23160.25,23227.87,23000,23227.87,SL_HIT,LOSS,-67.62,-1,16.7,253,0.247,3.7410000000000001,2.37,classic_liquidity,Smart zone breakout_base+bullish_breaker+swing_low+equal_lows_liquidity+order_block_bullish 23170.6-23232.55 | Target: ROUND_NUMBER
21,45678,0.49652777777777779,0.50347222222222221,CE,SMART_ZONE_BREAK_CONFIRMATION,23381.5,23328.83,23500,23328.83,SL_HIT,LOSS,-52.67,-1,16.649999999999999,86,0.316,1.633,2.25,classic_liquidity,Smart zone order_block_bearish+breakdown_base+swing_high 23328.29-23367.86 | Target: ROUND_NUMBER
22,45681,0.47569444444444442,0.50347222222222221,CE,SMART_ZONE_BREAK_CONFIRMATION,23271.200000000001,23224.27,23400,23294.67,PROFIT_LOCK_HIT,WIN,23.47,0.5,76.099999999999994,9.8000000000000007,1.6220000000000001,0.20899999999999999,2.74,classic_liquidity,Smart zone order_block_bearish+swing_high+breakdown_base+bearish_breaker+equal_highs_liquidity 23226.15-23256.65 | Target: ROUND_NUMBER
23,45681,0.54513888888888884,0.63541666666666663,PE,SMART_ZONE_TREND_CONTINUATION,23183.35,23262.92,23027.439999999999,23098.6,TIME_EXIT,WIN,84.75,1.0649999999999999,133.35,44.75,1.6759999999999999,0.56200000000000006,1.96,smart_zone,Smart zone order_block_bearish+swing_high+breakdown_base+bearish_breaker+equal_highs_liquidity 23226.15-23256.65 | Target: SMART_ZONE:order_block_bullish+equal_lows_liquidity+swing_low+breakout_base+bullish_breaker
24,45684,0.4861111111111111,0.5,PE,SMART_ZONE_TREND_CONTINUATION,22867.599999999999,22925,22700,22925,SL_HIT,LOSS,-57.4,-1,11.35,72.349999999999994,0.19800000000000001,1.26,2.92,classic_liquidity,Smart zone breakdown_base+swing_high+order_block_bearish 22890.4-22917.43 | Target: ROUND_NUMBER
25,45685,0.46875,0.48958333333333331,CE,SMART_ZONE_BREAK_CONFIRMATION,22959.599999999999,22890.61,23068.87,22994.09,PROFIT_LOCK_HIT,WIN,34.49,0.5,73.900000000000006,15.3,1.071,0.222,1.58,smart_zone,Smart zone order_block_bearish+bearish_breaker+swing_high+breakdown_base+equal_highs_liquidity 22887.0-22936.0 | Target: SMART_ZONE:breakdown_base+bearish_breaker+swing_high+order_block_bearish
26,45685,0.49305555555555558,0.55555555555555558,CE,SMART_ZONE_BREAK_CONFIRMATION,23013.4,22956.959999999999,23100,23041.62,PROFIT_LOCK_HIT,WIN,28.22,0.5,60.4,25,1.07,0.443,1.53,classic_liquidity,Smart zone order_block_bearish+breakdown_base+swing_high+bearish_breaker+equal_highs_liquidity 22953.36-22999.15 | Target: ROUND_NUMBER
27,45686,0.45833333333333331,0.47222222222222221,CE,SMART_ZONE_TREND_CONTINUATION,23122.85,23037.07,23300,23037.07,SL_HIT,LOSS,-85.78,-1,1.1000000000000001,138.69999999999999,1.2999999999999999E-2,1.617,2.0699999999999998,classic_liquidity,Smart zone breakout_base+swing_low+bullish_breaker+order_block_bullish 23045.52-23073.95 | Target: ROUND_NUMBER
28,45686,0.56944444444444442,0.63541666666666663,CE,SMART_ZONE_BREAK_CONFIRMATION,23158.95,23110.07,23300,23161.7,TIME_EXIT,WIN,2.75,5.6000000000000001E-2,22.4,43.85,0.45800000000000002,0.89700000000000002,2.89,classic_liquidity,Smart zone order_block_bearish+swing_high+equal_highs_liquidity+bearish_breaker+breakdown_base 23111.73-23141.1 | Target: ROUND_NUMBER
29,45687,0.59027777777777779,0.625,PE,SMART_ZONE_BREAK_CONFIRMATION,23169.45,23217.52,23062.68,23217.52,SL_HIT,LOSS,-48.07,-1,29.5,69.849999999999994,0.61399999999999999,1.4530000000000001,2.2200000000000002,smart_zone,Smart zone order_block_bullish+breakout_base+equal_lows_liquidity+swing_low 23191.29-23218.61 | Target: SMART_ZONE:order_block_bullish+bullish_breaker+breakout_base+swing_low+equal_lows_liquidity+gap_up
